videoId,title,channelId,channelName,date
uEiYA_F3z1M,Myanmar’s Rohingya Detail Army Massacre,UC52X5wxOL_s5yw0dQk7NtgA,Associated Press,2017-12-21T14:36:21Z
Oda49msRNRU,Rohingya Genocide Case - Court: Myanmar must abide by UN genocide convention,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,2020-01-23T18:30:28Z
jV2_S-pSUhI,Gambia&#39;s Lawyer at Myanmar Rohingya Genocide Case: &quot;They Systematically Killed Men&quot;,UCVSNOxehfALut52NbkfRBaA,VOA News,2019-12-10T16:27:17Z
liy9Dtxo3yE,Aung San Suu Kyi Represents Myanmar Against Rohingya Genocide Case at UN Criminal Court,UCVSNOxehfALut52NbkfRBaA,VOA News,2019-12-10T14:46:13Z
79NKfomT7vw,"Two years after &#39;genocide&#39;, Rohingya Muslims too afraid to return home",UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,2019-08-26T15:44:59Z
xtYHFKNhHaw,Maung Zarni explains the Rohingya genocide,UCok8bs3XNbyU93LMwQ4A55w,Watson Institute for International and Public Affairs,2017-11-28T16:25:52Z
6A3kHImkK6s,State-Sanctioned Genocide Targeting Rohingya Muslims In Myanmar,UCV3Nm3T-XAgVhKH9jT0ViRg,AJ+,2015-10-29T00:00:21Z
iW62-gWH5wo,Genocide of the Rohingya: Preventing Mass Atrocities Four Years Later,UC15plGNCMRkMmREMNkbYJPA,United States Holocaust Memorial Museum,2021-08-25T14:10:16Z
H05aVCQ78Es,Myanmar Rohingya: Suu Kyi to defend genocide charge at UN court - BBC News,UC16niRr50-MSBwiO3YDb3RA,BBC News,2019-12-10T11:26:58Z
a0hqw0Tmgx8,"Is the Burmese Military Carrying Out a Genocide Against Rohingya, World&#39;s Most Persecuted Minority?",UCzuqE7-t13O4NIDYJfakrhw,Democracy Now!,2017-09-07T16:33:21Z
RdJT-w5Z7qU,Facebook And The Rohingya Genocide | The Mehdi Hasan Show,UC3LDlm9POXkzp1odEsK_OUg,The Choice,2021-10-15T12:30:05Z
eq5tK2YAd_M,Watch effect of Zee News on massacre of Rohingya Hindus in Myanmar,UCIvaYmXn910QMdemBG3v1pQ,Zee News,2017-09-30T04:42:23Z
89ujUCRYL08,Burma: Methodical Massacre at Rohingya Village,UCoS-mm5bC5eY07AaKntKzgw,Human Rights Watch,2018-01-04T20:06:12Z
CvhsRWVfZnE,Suu Kyi defends Myanmar against Rohingya genocide charge - News Review,UCHaHD477h-FeBbVh9Sh7syA,BBC Learning English,2019-12-11T11:56:09Z
OOKGB44-n2s,Evidence of Genocide Committed Against Rohingya in Burma,UC15plGNCMRkMmREMNkbYJPA,United States Holocaust Memorial Museum,2019-01-07T19:17:43Z
pBVvA3SBzsg,Malaysia: PM Najib leads protest against Rohingya ‘genocide’,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2016-12-04T16:18:59Z
O_xFS6q41Gs,Extreme traumatic stress among Rohingya genocide survivors: Report,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2020-12-10T15:58:32Z
eZnWL91GUdk,Will the ICJ order Myanmar to stop the Rohingya genocide?,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2020-01-23T07:56:06Z
yHtRN7t08JM,Myanmar army &#39;fires on fleeing Rohingya&#39; amid Rakhine clashes,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2017-08-27T06:24:57Z
