Seed Size,Accuracy,Precision_W,Recall_W,F1score_W,Precision_mi,Recall_mi,F1score_mi
331,0.705069124,0.704830015,0.705069124,0.704942892,0.705069124,0.705069124, 0.7050691244239631	
336,0.705069124,0.705323176,0.705069124,0.705189482,0.705069124,0.705069124, 0.7050691244239631	
341,0.700460829,0.700852873,0.700460829,0.700641957,0.700460829,0.700460829, 0.7004608294930875	
346,0.709677419,0.709557968,0.709677419,0.709616013,0.709677419,0.709677419, 0.7096774193548389	
351,0.703533026,0.703921491,0.703533026,0.703712296,0.703533026,0.703533026, 0.7035330261136713	
356,0.708141321,0.708141321,0.708141321,0.708141321,0.708141321,0.708141321, 0.7081413210445467	
361,0.708141321,0.707683694,0.708141321,0.70788565,0.708141321,0.708141321, 0.7081413210445467	
366,0.705069124,0.705323176,0.705069124,0.705189482,0.705069124,0.705069124, 0.7050691244239631	
371,0.712749616,0.712004519,0.712749616,0.71229413,0.712749616,0.712749616, 0.7127496159754224	
376,0.709677419,0.708921819,0.709677419,0.709217062,0.709677419,0.709677419, 0.7096774193548389	
381,0.717357911,0.716227945,0.717357911,0.716546851,0.717357911,0.717357911, 0.7173579109062981	
386,0.712749616,0.711826832,0.712749616,0.712150983,0.712749616,0.712749616, 0.7127496159754224	
391,0.721966206,0.721085622,0.721966206,0.72138678,0.721966206,0.721966206, 0.7219662058371735	
396,0.715821813,0.714754957,0.715821813,0.715082203,0.715821813,0.715821813, 0.7158218125960061	
401,0.712749616,0.711664875,0.712749616,0.712002011,0.712749616,0.712749616, 0.7127496159754224	
406,0.714285714,0.712879602,0.714285714,0.713146154,0.714285714,0.714285714, 0.7142857142857143	
411,0.721966206,0.720801179,0.721966206,0.721092733,0.721966206,0.721966206, 0.7219662058371735	
416,0.714285714,0.712879602,0.714285714,0.713146154,0.714285714,0.714285714, 0.7142857142857143	
421,0.715821813,0.714612867,0.715821813,0.714929036,0.715821813,0.715821813, 0.7158218125960061	
426,0.711213518,0.710043771,0.711213518,0.710384826,0.711213518,0.711213518, 0.7112135176651304	
431,0.715821813,0.714612867,0.715821813,0.714929036,0.715821813,0.715821813, 0.7158218125960061	
436,0.715821813,0.714612867,0.715821813,0.714929036,0.715821813,0.715821813, 0.7158218125960061	
441,0.717357911,0.716096007,0.717357911,0.716391625,0.717357911,0.717357911, 0.7173579109062981	
