Seed Sizes,Accuracy,Precision,Recall,F_Score,Precision_mi,Recall_mi,F1_Score_mi
211,0.708141321,0.707763142,0.708141321,0.702047285,0.708141321,0.708141321, 0.7081413210445467	
216,0.714285714,0.712942804,0.714285714,0.7102358,0.714285714,0.714285714, 0.7142857142857143	
221,0.728110599,0.72739412,0.728110599,0.7241364,0.728110599,0.728110599, 0.728110599078341	
226,0.729646697,0.728606264,0.729646697,0.726277825,0.729646697,0.729646697, 0.7296466973886329	
231,0.728110599,0.727083772,0.728110599,0.724608351,0.728110599,0.728110599, 0.728110599078341	
236,0.728110599,0.728008858,0.728110599,0.723382929,0.728110599,0.728110599, 0.728110599078341	
241,0.717357911,0.717286264,0.717357911,0.71174644,0.717357911,0.717357911, 0.7173579109062981	
246,0.726574501,0.730487564,0.726574501,0.718387129,0.726574501,0.726574501, 0.7265745007680491	
251,0.729646697,0.733358412,0.729646697,0.721880451,0.729646697,0.729646697, 0.7296466973886329	
256,0.729646697,0.730592144,0.729646697,0.724001696,0.729646697,0.729646697, 0.7296466973886329	
261,0.738863287,0.738915426,0.738863287,0.734691034,0.738863287,0.738863287, 0.7388632872503841	
266,0.735791091,0.734705415,0.735791091,0.732928362,0.735791091,0.735791091, 0.7357910906298003	
271,0.732718894,0.731408501,0.732718894,0.731495079,0.732718894,0.732718894, 0.7327188940092166	
276,0.725038402,0.723473197,0.725038402,0.722784273,0.725038402,0.725038402, 0.7250384024577573	
281,0.726574501,0.725053802,0.726574501,0.724234351,0.726574501,0.726574501, 0.7265745007680491	
286,0.734254992,0.732995644,0.734254992,0.733117331,0.734254992,0.734254992, 0.7342549923195084	
291,0.725038402,0.723473197,0.725038402,0.722784273,0.725038402,0.725038402, 0.7250384024577573	
296,0.720430108,0.719480656,0.720430108,0.71621844,0.720430108,0.720430108, 0.7204301075268817	
301,0.728110599,0.726850696,0.728110599,0.725056358,0.728110599,0.728110599, 0.728110599078341	
306,0.729646697,0.728238482,0.729646697,0.727133502,0.729646697,0.729646697, 0.7296466973886329	
311,0.737327189,0.736018575,0.737327189,0.735173803,0.737327189,0.737327189, 0.7373271889400922	
316,0.734254992,0.733605659,0.734254992,0.730604191,0.734254992,0.734254992, 0.7342549923195084	
321,0.731182796,0.730263686,0.731182796,0.727720121,0.731182796,0.731182796, 0.7311827956989246	
326,0.728110599,0.72669314,0.728110599,0.725480703,0.728110599,0.728110599, 0.728110599078341	
331,0.734254992,0.733076149,0.734254992,0.731480025,0.734254992,0.734254992, 0.7342549923195084	
336,0.737327189,0.736070786,0.737327189,0.734982932,0.737327189,0.737327189, 0.7373271889400922	
341,0.737327189,0.736070786,0.737327189,0.734982932,0.737327189,0.737327189, 0.7373271889400922	
346,0.743471582,0.742245579,0.743471582,0.741549516,0.743471582,0.743471582, 0.7434715821812596	
351,0.731182796,0.729892557,0.731182796,0.730031982,0.731182796,0.731182796, 0.7311827956989246	
356,0.732718894,0.731384718,0.732718894,0.730234258,0.732718894,0.732718894, 0.7327188940092166	
361,0.738863287,0.737612079,0.738863287,0.736628313,0.738863287,0.738863287, 0.7388632872503841	
366,0.743471582,0.742689466,0.743471582,0.742936974,0.743471582,0.743471582, 0.7434715821812596	
371,0.74500768,0.743962624,0.74500768,0.744135922,0.74500768,0.74500768, 0.7450076804915513	
376,0.74500768,0.743792584,0.74500768,0.743684336,0.74500768,0.74500768, 0.7450076804915513	
381,0.737327189,0.735975266,0.737327189,0.735713002,0.737327189,0.737327189, 0.7373271889400922	
386,0.738863287,0.737531438,0.738863287,0.737172638,0.738863287,0.738863287, 0.7388632872503841	
