model,expansion_algo,batch_size,top_n_uncertain,final_expansion_size,classification_algo,accuracy,precision_weighted,recall_weighted,f1_score_weighted,,precision_micro,recall_micro,f1_score_micro
models/ft_unsupervised_N_2.bin,svm,30,5,451,lr,0.731182796,0.730674213,0.731182796,0.730885071,,0.731182796,0.731182796,0.731182796
models/ft_unsupervised_N_2.bin,svm,30,5,451,svm,0.74500768,0.748042334,0.74500768,0.745822562,,0.74500768,0.74500768,0.74500768
models/ft_unsupervised_N_2.bin,svm,30,5,451,knn,0.619047619,0.61306606,0.619047619,0.603585188,,0.619047619,0.619047619,0.619047619
models/ft_unsupervised_N_2.bin,svm,40,1,90,lr,0.565284178,0.513899058,0.565284178,0.420064172,,0.565284178,0.565284178,0.565284178
models/ft_unsupervised_N_2.bin,svm,40,1,90,svm,0.734254992,0.732855254,0.734254992,0.73226387,,0.734254992,0.734254992,0.734254992
models/ft_unsupervised_N_2.bin,svm,40,1,90,knn,0.603686636,0.597897922,0.603686636,0.571555411,,0.603686636,0.603686636,0.603686636
models/ft_unsupervised_N_2.bin,svm,40,2,154,lr,0.709677419,0.709330558,0.709677419,0.709488853,,0.709677419,0.709677419,0.709677419
models/ft_unsupervised_N_2.bin,svm,40,2,154,svm,0.698924731,0.717701896,0.698924731,0.699692389,,0.698924731,0.698924731,0.698924731
models/ft_unsupervised_N_2.bin,svm,40,2,154,knn,0.622119816,0.622434327,0.622119816,0.591483066,,0.622119816,0.622119816,0.622119816
models/ft_unsupervised_N_2.bin,svm,40,5,346,lr,0.729646697,0.729044814,0.729646697,0.729283319,,0.729646697,0.729646697,0.729646697
models/ft_unsupervised_N_2.bin,svm,40,5,346,svm,0.712749616,0.730556672,0.712749616,0.713592082,,0.712749616,0.712749616,0.712749616
models/ft_unsupervised_N_2.bin,svm,40,5,346,knn,0.640552995,0.642416837,0.640552995,0.61711523,,0.640552995,0.640552995,0.640552995
models/ft_unsupervised_N_2.bin,svm,50,1,77,lr,0.706605223,0.71860783,0.706605223,0.690834014,,0.706605223,0.706605223,0.706605223
models/ft_unsupervised_N_2.bin,svm,50,1,77,svm,0.546850998,0.704613397,0.546850998,0.49006427,,0.546850998,0.546850998,0.546850998
models/ft_unsupervised_N_2.bin,svm,50,1,77,knn,0.623655914,0.617858425,0.623655914,0.613514931,,0.623655914,0.623655914,0.623655914
models/ft_unsupervised_N_2.bin,svm,50,2,128,lr,0.721966206,0.721635862,0.721966206,0.721785621,,0.721966206,0.721966206,0.721966206
models/ft_unsupervised_N_2.bin,svm,50,2,128,svm,0.729646697,0.72838338,0.729646697,0.728568404,,0.729646697,0.729646697,0.729646697
models/ft_unsupervised_N_2.bin,svm,50,2,128,knn,0.594470046,0.587907379,0.594470046,0.551316939,,0.594470046,0.594470046,0.594470046
models/ft_unsupervised_N_2.bin,svm,50,5,281,lr,0.743471582,0.745942565,0.743471582,0.74420032,,0.743471582,0.743471582,0.743471582
models/ft_unsupervised_N_2.bin,svm,50,5,281,svm,0.757296467,0.759182997,0.757296467,0.757889202,,0.757296467,0.757296467,0.757296467
models/ft_unsupervised_N_2.bin,svm,50,5,281,knn,0.615975422,0.612005969,0.615975422,0.590215508,,0.615975422,0.615975422,0.615975422
models/ft_unsupervised_N_2.bin,svm,100,1,51,lr,0.678955453,0.676340976,0.678955453,0.673676858,,0.678955453,0.678955453,0.678955453
models/ft_unsupervised_N_2.bin,svm,100,1,51,svm,0.632872504,0.668136299,0.632872504,0.576616286,,0.632872504,0.632872504,0.632872504
models/ft_unsupervised_N_2.bin,svm,100,1,51,knn,0.571428571,0.556591068,0.571428571,0.545434336,,0.571428571,0.571428571,0.571428571
models/ft_unsupervised_N_2.bin,svm,100,2,76,lr,0.705069124,0.703744112,0.705069124,0.700081182,,0.705069124,0.705069124,0.705069124
models/ft_unsupervised_N_2.bin,svm,100,2,76,svm,0.708141321,0.709550858,0.708141321,0.700105468,,0.708141321,0.708141321,0.708141321
models/ft_unsupervised_N_2.bin,svm,100,2,76,knn,0.577572965,0.563448548,0.577572965,0.519355835,,0.577572965,0.577572965,0.577572965
models/ft_unsupervised_N_2.bin,svm,100,5,151,lr,0.711213518,0.709750275,0.711213518,0.707120056,,0.711213518,0.711213518,0.711213518
models/ft_unsupervised_N_2.bin,svm,100,5,151,svm,0.566820276,0.321285226,0.566820276,0.410111141,,0.566820276,0.566820276,0.566820276
models/ft_unsupervised_N_2.bin,svm,100,5,151,knn,0.615975422,0.60942442,0.615975422,0.603016562,,0.615975422,0.615975422,0.615975422
models/ft_unsupervised_N_2.bin,knn,10,1,283,lr,0.740399386,0.739201818,0.740399386,0.739288028,,0.740399386,0.740399386,0.740399386
models/ft_unsupervised_N_2.bin,knn,10,1,283,svm,0.734254992,0.73292792,0.734254992,0.731883317,,0.734254992,0.734254992,0.734254992
models/ft_unsupervised_N_2.bin,knn,10,1,283,knn,0.680491551,0.680968481,0.680491551,0.66970978,,0.680491551,0.680491551,0.680491551
models/ft_unsupervised_N_2.bin,knn,10,2,540,lr,0.734254992,0.735011646,0.734254992,0.729113074,,0.734254992,0.734254992,0.734254992
models/ft_unsupervised_N_2.bin,knn,10,2,540,svm,0.735791091,0.741692,0.735791091,0.727216773,,0.735791091,0.735791091,0.735791091
models/ft_unsupervised_N_2.bin,knn,10,2,540,knn,0.658986175,0.666071077,0.658986175,0.636111371,,0.658986175,0.658986175,0.658986175
models/ft_unsupervised_N_2.bin,knn,10,5,1311,lr,0.748079877,0.746889469,0.748079877,0.746613319,,0.748079877,0.748079877,0.748079877
models/ft_unsupervised_N_2.bin,knn,10,5,1311,svm,0.75422427,0.754028221,0.75422427,0.754119076,,0.75422427,0.75422427,0.75422427
